ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,price,size,channel_id,order_id,flags,ts_in_delta,sequence,symbol
2024-12-30T00:00:00.000000000Z,2024-12-30T00:00:00.000000000Z,160,1,29307,A,B,1.2507,1,4,0,0,0,0,6BH5
2024-12-30T00:00:10.000000000Z,2024-12-30T00:00:10.000000000Z,160,1,29307,F,A,1.2507,2,4,1,0,0,1,6BH5
2024-12-30T00:00:20.000000000Z,2024-12-30T00:00:20.000000000Z,160,1,29307,R,N,,0,4,2,0,0,2,6BH5
2024-12-30T00:00:30.000000000Z,2024-12-30T00:00:30.000000000Z,160,1,29307,C,A,1.2506,1,4,3,0,0,3,6BH5
2024-12-30T00:00:40.000000000Z,2024-12-30T00:00:40.000000000Z,160,1,29307,A,B,1.2504,1,4,4,0,0,4,6BH5
2024-12-30T00:00:50.000000000Z,2024-12-30T00:00:50.000000000Z,160,1,29307,R,N,,0,4,5,0,0,5,6BH5
2024-12-30T00:01:00.000000000Z,2024-12-30T00:01:00.000000000Z,160,1,29307,F,B,1.2506,1,4,6,0,0,6,6BH5
2024-12-30T00:01:10.000000000Z,2024-12-30T00:01:10.000000000Z,160,1,29307,A,B,1.2505,1,4,7,0,0,7,6BH5
2024-12-30T00:01:20.000000000Z,2024-12-30T00:01:20.000000000Z,160,1,29307,C,B,1.2504,1,4,8,0,0,8,6BH5
2024-12-30T00:01:30.000000000Z,2024-12-30T00:01:30.000000000Z,160,1,29307,T,B,1.2504,5,4,9,0,0,9,6BH5
2024-12-30T00:01:40.000000000Z,2024-12-30T00:01:40.000000000Z,160,1,29307,A,B,1.2504,10,4,10,0,0,10,6BH5
2024-12-30T00:01:50.000000000Z,2024-12-30T00:01:50.000000000Z,160,1,29307,C,B,1.2503,1,4,11,0,0,11,6BH5
2024-12-30T00:02:00.000000000Z,2024-12-30T00:02:00.000000000Z,160,1,29307,C,A,1.2505,5,4,12,0,0,12,6BH5
2024-12-30T00:02:10.000000000Z,2024-12-30T00:02:10.000000000Z,160,1,29307,A,A,1.2503,1,4,13,0,0,13,6BH5
2024-12-30T00:02:20.000000000Z,2024-12-30T00:02:20.000000000Z,160,1,29307,F,A,1.2502,1,4,14,0,0,14,6BH5
2024-12-30T00:02:30.000000000Z,2024-12-30T00:02:30.000000000Z,160,1,29307,F,B,1.2503,1,4,15,0,0,15,6BH5
2024-12-30T00:02:40.000000000Z,2024-12-30T00:02:40.000000000Z,160,1,29307,A,B,1.2502,1,4,16,0,0,16,6BH5
2024-12-30T00:02:50.000000000Z,2024-12-30T00:02:50.000000000Z,160,1,29307,A,A,1.2503,1,4,17,0,0,17,6BH5
2024-12-30T00:03:00.000000000Z,2024-12-30T00:03:00.000000000Z,160,1,29307,T,B,1.2504,5,4,18,0,0,18,6BH5
2024-12-30T00:03:10.000000000Z,2024-12-30T00:03:10.000000000Z,160,1,29307,A,B,1.2505,1,4,19,0,0,19,6BH5
2024-12-30T00:03:20.000000000Z,2024-12-30T00:03:20.000000000Z,160,1,29307,F,B,1.2503,1,4,20,0,0,20,6BH5
2024-12-30T00:03:30.000000000Z,2024-12-30T00:03:30.000000000Z,160,1,29307,T,B,1.2501,2,4,21,0,0,21,6BH5
2024-12-30T00:03:40.000000000Z,2024-12-30T00:03:40.000000000Z,160,1,29307,A,B,1.25,1,4,22,0,0,22,6BH5
2024-12-30T00:03:50.000000000Z,2024-12-30T00:03:50.000000000Z,160,1,29307,C,A,1.25,1,4,23,0,0,23,6BH5
2024-12-30T00:04:00.000000000Z,2024-12-30T00:04:00.000000000Z,160,1,29307,A,A,1.2501,1,4,24,0,0,24,6BH5
2024-12-30T00:04:10.000000000Z,2024-12-30T00:04:10.000000000Z,160,1,29307,T,A,1.2502,1,4,25,0,0,25,6BH5
2024-12-30T00:04:20.000000000Z,2024-12-30T00:04:20.000000000Z,160,1,29307,C,A,1.2503,1,4,26,0,0,26,6BH5
2024-12-30T00:04:30.000000000Z,2024-12-30T00:04:30.000000000Z,160,1,29307,F,A,1.2505,1,4,27,0,0,27,6BH5
2024-12-30T00:04:40.000000000Z,2024-12-30T00:04:40.000000000Z,160,1,29307,T,B,1.2506,1,4,28,0,0,28,6BH5
2024-12-30T00:04:50.000000000Z,2024-12-30T00:04:50.000000000Z,160,1,29307,C,B,1.2505,5,4,29,0,0,29,6BH5
2024-12-30T00:05:00.000000000Z,2024-12-30T00:05:00.000000000Z,160,1,29307,C,B,1.2504,2,4,30,0,0,30,6BH5
2024-12-30T00:05:10.000000000Z,2024-12-30T00:05:10.000000000Z,160,1,29307,A,B,1.2505,1,4,31,0,0,31,6BH5
2024-12-30T00:05:20.000000000Z,2024-12-30T00:05:20.000000000Z,160,1,29307,R,N,,0,4,32,0,0,32,6BH5
2024-12-30T00:05:30.000000000Z,2024-12-30T00:05:30.000000000Z,160,1,29307,C,A,1.2502,1,4,33,0,0,33,6BH5
2024-12-30T00:05:40.000000000Z,2024-12-30T00:05:40.000000000Z,160,1,29307,A,A,1.2502,5,4,34,0,0,34,6BH5
2024-12-30T00:05:50.000000000Z,2024-12-30T00:05:50.000000000Z,160,1,29307,T,B,1.2503,1,4,35,0,0,35,6BH5
2024-12-30T00:06:00.000000000Z,2024-12-30T00:06:00.000000000Z,160,1,29307,C,A,1.2501,1,4,36,0,0,36,6BH5
2024-12-30T00:06:10.000000000Z,2024-12-30T00:06:10.000000000Z,160,1,29307,C,B,1.2502,2,4,37,0,0,37,6BH5
2024-12-30T00:06:20.000000000Z,2024-12-30T00:06:20.000000000Z,160,1,29307,C,A,1.2503,5,4,38,0,0,38,6BH5
2024-12-30T00:06:30.000000000Z,2024-12-30T00:06:30.000000000Z,160,1,29307,C,A,1.2503,1,4,39,0,0,39,6BH5
2024-12-30T00:06:40.000000000Z,2024-12-30T00:06:40.000000000Z,160,1,29307,C,B,1.2501,1,4,40,0,0,40,6BH5
2024-12-30T00:06:50.000000000Z,2024-12-30T00:06:50.000000000Z,160,1,29307,T,B,1.25,1,4,41,0,0,41,6BH5
2024-12-30T00:07:00.000000000Z,2024-12-30T00:07:00.000000000Z,160,1,29307,C,A,1.2501,1,4,42,0,0,42,6BH5
2024-12-30T00:07:10.000000000Z,2024-12-30T00:07:10.000000000Z,160,1,29307,A,A,1.2502,1,4,43,0,0,43,6BH5
